Country,Starbucks,Teavana,EvolutionFresh,CoffeeHouse,TotalStore,CompanyOwned,Licensed,Franchise,JointVenture,COMMONWEALTH OF INDEPENDENT STATES,Population,PopulationDensity,GDP,Literacy,Phones
Eritrea,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,4786994,"39,5",700,"58,6","7,9"
Estonia,0,0,0,0,0,0,0,0,0,BALTICS,1324333,"29,3",12300,"99,8","333,8"
Ethiopia,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,74777981,"66,3",700,"42,7","8,2"
Faroe Islands,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,47246,"33,8",22000,,"503,8"
Fiji,0,0,0,0,0,0,0,0,0,OCEANIA,905949,"49,6",5800,"93,7","112,6"
Finland,8,0,0,0,8,0,8,0,0,WESTERN EUROPE,5231372,"15,5",27400,100,"405,3"
France,132,0,0,0,132,74,43,15,0,WESTERN EUROPE,60876136,"111,3",27600,99,"586,4"
French Guiana,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,199509,"2,2",8300,83,"255,6"
French Polynesia,0,0,0,0,0,0,0,0,0,OCEANIA,274578,"65,9",17500,98,"194,5"
Gabon,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,1424906,"5,3",5500,"63,2","27,4"
Gambia,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,11300,"72,02",1700,"40,1","26,8"
Gaza Strip,0,0,0,0,0,0,0,0,0,NEAR EAST,1428757,"3968,8",600,,"244,3"
Georgia,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,4661473,"66,9",2500,99,"146,6"
Germany,160,0,0,0,160,142,18,0,0,WESTERN EUROPE,82422299,"230,9",27600,99,"667,9"
Ghana,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,22409572,"93,6",2200,"74,8","14,4"
Gibraltar,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,27928,"3989,7",17500,,"877,7"
Greece,28,0,0,0,28,0,28,0,0,WESTERN EUROPE,10688058,81,20000,"97,5","589,7"
Greenland,0,0,0,0,0,0,0,0,0,NORTHERN AMERICA,56361,0,20000,,"448,9"
Grenada,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,89703,"260,8",5000,98,"364,5"
Guadeloupe,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,452776,"254,4",8000,90,"463,8"
Guam,0,0,0,0,0,0,0,0,0,OCEANIA,171019,"316,1",21000,99,492
Guatemala,7,0,0,0,7,0,7,0,0,LATIN AMERICA & CARIBBEAN,12293545,"112,9",4100,"70,6","92,1"
Guernsey,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,65409,"838,6",20000,,"842,4"
Guinea,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,9690222,"39,4",2100,"35,9","2,7"
